council_key,year_start,source_council,panel_council,raw_operating_ratio,normalized_operating_ratio,panel_operating_ratio,difference_pp,source_url,sheet,excel_cell
murrumbidgee,2021,Murrumbidgee,Murrumbidgee,1.63,1.63,1.63,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA83
murrumbidgee,2022,Murrumbidgee,Murrumbidgee,4.65,4.65,4.65,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA82
murrumbidgee,2023,Murrumbidgee,Murrumbidgee,-0.13390000000000002,-13.390000000000002,-13.390000000000002,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA82
muswellbrook,2021,Muswellbrook ,Muswellbrook,8.34,8.34,8.34,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA84
muswellbrook,2022,Muswellbrook ,Muswellbrook,9.48,9.48,9.48,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA83
muswellbrook,2023,Muswellbrook ,Muswellbrook,0.2018,20.18,20.18,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA83
nambuccavalley,2020,Nambucca Valley,Nambucca Valley,-5.47,-5.47,-5.47,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA85
nambuccavalley,2021,Nambucca Valley,Nambucca Valley,0.74,0.74,0.74,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA85
nambuccavalley,2022,Nambucca Valley,Nambucca Valley,5.88,5.88,5.88,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA84
narrandera,2021,Narrandera ,Narrandera,0.28,0.28,0.28,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA87
narrandera,2022,Narrandera ,Narrandera,15.77,15.77,15.77,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA86
narrandera,2023,Narrandera ,Narrandera,0.16140000000000002,16.14,16.14,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA86
narromine,2021,Narromine ,Narromine,-6.42,-6.42,-6.42,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA88
narromine,2022,Narromine ,Narromine,1.79,1.79,1.79,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA87
narromine,2023,Narromine ,Narromine,-0.22649999999999998,-22.65,-22.65,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA87
newcastle,2020,Newcastle ,Newcastle,-8.11,-8.11,-8.11,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA89
newcastle,2021,Newcastle ,Newcastle,-0.64,-0.64,-0.64,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA89
newcastle,2022,Newcastle ,Newcastle,3.69,3.69,3.69,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA88
northernbeaches,2020,Northern Beaches,Northern Beaches,-7.32,-7.32,-7.32,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA91
northernbeaches,2021,Northern Beaches,Northern Beaches,4.53,4.53,4.53,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA91
northernbeaches,2022,Northern Beaches,Northern Beaches,4.46,4.46,4.46,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA90
northsydney,2019,North Sydney,North Sydney,-6.76,-6.76,-6.76,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA90
northsydney,2020,North Sydney,North Sydney,1.38,1.38,1.38,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA90
northsydney,2021,North Sydney,North Sydney,4.15,4.15,4.15,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA90
parramatta,2021,Parramatta,Parramatta,1.78,1.78,1.78,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA95
parramatta,2022,Parramatta,Parramatta,-0.09,-0.09,-0.09,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA94
parramatta,2023,Parramatta,Parramatta,0.12359999999999999,12.36,12.36,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA94
portmacquariehastings,2019,Port Macquarie-Hastings,Port Macquarie-Hastings,3.45,3.45,3.45,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA97
portmacquariehastings,2020,Port Macquarie-Hastings,Port Macquarie-Hastings,3.99,3.99,3.99,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA97
portmacquariehastings,2021,Port Macquarie-Hastings,Port Macquarie-Hastings,14.47,14.47,14.47,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA97
portmacquariehastings,2022,Port Macquarie-Hastings,Port Macquarie-Hastings,4.04,4.04,4.04,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA96
portmacquariehastings,2023,Port Macquarie-Hastings,Port Macquarie-Hastings,0.0409,4.09,4.09,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA96
randwick,2020,Randwick ,Randwick,3.07,3.07,3.07,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA100
randwick,2021,Randwick ,Randwick,5.57,5.57,5.57,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA100
randwick,2022,Randwick ,Randwick,7.48,7.48,7.48,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA99
richmondvalley,2021,Richmond Valley,Richmond Valley,-2.8,-2.8,-2.8,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA101
richmondvalley,2022,Richmond Valley,Richmond Valley,4.94,4.94,4.94,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA100
richmondvalley,2023,Richmond Valley,Richmond Valley,-0.1663,-16.63,-16.63,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA100
shellharbour,2020,Shellharbour ,Shellharbour,14.3,14.3,14.3,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA103
shellharbour,2021,Shellharbour ,Shellharbour,16.64,16.64,16.64,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA103
shellharbour,2022,Shellharbour ,Shellharbour,2.25,2.25,2.25,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA102
shellharbour,2023,Shellharbour ,Shellharbour,-0.033,-3.3000000000000003,-3.3000000000000003,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA102
snowymonaro,2020,Snowy Monaro Regional,Snowy Monaro Regional,-30.27,-30.27,-30.27,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA106
snowymonaro,2021,Snowy Monaro Regional,Snowy Monaro Regional,-0.34,-0.34,-0.34,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA106
snowymonaro,2022,Snowy Monaro Regional,Snowy Monaro Regional,-2.15,-2.15,-2.15,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA105
snowyvalleys,2021,Snowy Valleys,Snowy Valleys,-3.88,-3.88,-3.88,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA107
snowyvalleys,2022,Snowy Valleys,Snowy Valleys,-0.47,-0.47,-0.47,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA106
snowyvalleys,2023,Snowy Valleys,Snowy Valleys,0.0672,6.72,6.72,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA106
tenterfield,2019,Tenterfield ,Tenterfield,1.14,1.14,1.14,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA113
tenterfield,2020,Tenterfield ,Tenterfield,1.12,1.12,1.12,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA113
tenterfield,2021,Tenterfield ,Tenterfield,12.76,12.76,12.76,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA113
tenterfield,2022,Tenterfield ,Tenterfield,16.55,16.55,16.55,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA112
tenterfield,2023,Tenterfield ,Tenterfield,0.30269999999999997,30.269999999999996,30.27,-3.552713678800501e-15,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA112
upperhunter,2019,Upper Hunter ,Upper Hunter,-9.5,-9.5,-9.5,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA115
upperhunter,2020,Upper Hunter ,Upper Hunter,-11.54,-11.54,-11.54,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA115
upperhunter,2021,Upper Hunter ,Upper Hunter,-20.21,-20.21,-20.21,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA115
upperlachlan,2020,Upper Lachlan ,Upper Lachlan,-8.64,-8.64,-8.64,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA116
upperlachlan,2021,Upper Lachlan ,Upper Lachlan,-4.58,-4.58,-4.58,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA116
upperlachlan,2022,Upper Lachlan ,Upper Lachlan,3.82,3.82,3.82,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA116
uralla,2021,Uralla ,Uralla,-3.0,-3.0,-3.0,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA117
uralla,2022,Uralla ,Uralla,-1.04,-1.04,-1.04,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA117
uralla,2023,Uralla ,Uralla,0.08960000000000001,8.96,8.96,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA117
walcha,2020,Walcha,Walcha,-3.17,-3.17,-3.17,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA119
walcha,2021,Walcha,Walcha,1.69,1.69,1.69,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA119
walcha,2022,Walcha,Walcha,7.65,7.65,7.65,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA119
walcha,2023,Walcha,Walcha,0.17629999999999998,17.63,17.63,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA119
walgett,2020,Walgett ,Walgett,-1.82,-1.82,-1.82,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA120
walgett,2021,Walgett ,Walgett,0.0,0.0,0.0,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA120
walgett,2022,Walgett ,Walgett,17.0,17.0,17.0,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA120
warren,2019,Warren ,Warren,22.46,22.46,22.46,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA121
warren,2020,Warren ,Warren,32.79,32.79,32.79,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA121
warren,2021,Warren ,Warren,27.11,27.11,27.11,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA121
warrumbungle,2019,Warrumbungle ,Warrumbungle,-5.59,-5.59,-5.59,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA122
warrumbungle,2020,Warrumbungle ,Warrumbungle,0.43,0.43,0.43,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA122
warrumbungle,2021,Warrumbungle ,Warrumbungle,6.11,6.11,6.11,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA122
warrumbungle,2022,Warrumbungle ,Warrumbungle,18.48,18.48,18.48,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA122
weddin,2020,Weddin ,Weddin,-0.25,-0.25,-0.25,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA124
weddin,2021,Weddin ,Weddin,-7.05,-7.05,-7.05,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA124
weddin,2022,Weddin ,Weddin,14.03,14.03,14.03,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA124
wentworth,2019,Wentworth ,Wentworth,-2.25,-2.25,-2.25,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA125
wentworth,2020,Wentworth ,Wentworth,3.15,3.15,3.15,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA125
wentworth,2021,Wentworth ,Wentworth,8.66,8.66,8.66,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA125
wollongong,2021,Wollongong ,Wollongong,4.89,4.89,4.89,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA129
wollongong,2022,Wollongong ,Wollongong,-1.11,-1.11,-1.11,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA129
wollongong,2023,Wollongong ,Wollongong,-0.1539,-15.39,-15.39,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA129
woollahra,2020,Woollahra ,Woollahra,-15.12,-15.12,-15.12,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA130
woollahra,2021,Woollahra ,Woollahra,-4.58,-4.58,-4.58,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA130
woollahra,2022,Woollahra ,Woollahra,3.64,3.64,3.64,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA130
woollahra,2023,Woollahra ,Woollahra,0.054400000000000004,5.44,5.44,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA130
yassvalley,2021,Yass Valley,Yass Valley,3.76,3.76,3.76,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA131
yassvalley,2022,Yass Valley,Yass Valley,-2.72,-2.72,-2.72,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA131
yassvalley,2023,Yass Valley,Yass Valley,-0.0712,-7.12,-7.12,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA131
