source_csv_row,Location_Name,Location_Type,Location_code,STATE,event_name,agrn,cat_A,cat_B,cat_C,cat_D,highest_drfa_category_group,AGDRP,DRA,hazard_type,disaster_start_date,recorded_any_DRFA,candidate_C_event,status,reason,verified_eligible_negative,model_ready,funding_receipt,measure_audit_ids,source_dataset,source_url
746,Walgett,LGA,17900,New South Wales,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,1,1,0,1,C/D,0,0,Flood,2022-06-27,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
747,Walgett,LGA,17900,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,1,1,Flood,2022-09-14,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
748,Walgett,LGA,17900,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,0,0,Bushfire,2023-03-06,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
749,Walgett,LGA,17900,New South Wales,AGRN 1081 - North Western NSW Bushfires (14 November 2023 onwards),1081,1,1,0,0,A/B,0,0,Bushfire,2023-11-14,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
750,Walgett,LGA,17900,New South Wales,AGRN 1157 - Walgett NSW Storm (17 November 2024 onwards),1157,1,1,0,0,A/B,0,0,Storm,2024-11-17,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
751,Walgett,LGA,17900,New South Wales,AGRN 1182 - NSW Gilgandra and Walgett Storms (from 25 November 2024),1182,0,1,0,0,A/B,0,0,Storm,2024-11-25,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
752,Walgett,LGA,17900,New South Wales,AGRN 1206 - NSW Walgett and Coonamble Bushfire (28 January -12 February 2025),1206,0,1,0,0,A/B,0,0,Bushfire,2025-01-28,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
753,Walgett,LGA,17900,New South Wales,AGRN 1211 - Far West NSW Flooding (from 22 March 2025),1211,1,1,0,0,A/B,0,0,Flood,2025-03-22,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
754,Warren,LGA,17950,New South Wales,AGRN 949 - NSW Storms (2 December 2020 onwards),949,1,1,0,0,A/B,0,0,Storm,2020-12-02,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
755,Warren,LGA,17950,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,0,0,Flood,2021-03-10,True,True,AMBIGUOUS_RECORD,"C flag recorded, but exact measure and common risk set not certified",False,False,,960_M01,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
756,Warren,LGA,17950,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,1,Flood,2021-11-09,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
757,Warren,LGA,17950,New South Wales,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,1,1,0,1,C/D,1,1,Flood,2022-06-27,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
758,Warren,LGA,17950,New South Wales,AGRN 1030 - Southern and Central West Flooding (4 August 2022 onwards),1030,1,1,0,1,C/D,0,0,Flood,2022-08-04,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
759,Warren,LGA,17950,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,0,1,Flood,2022-09-14,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
760,Warren,LGA,17950,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,0,0,Bushfire,2023-03-06,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
761,Warren,LGA,17950,New South Wales,AGRN 1247 - NSW Severe Weather Event (from 26 November 2025),1247,1,1,0,0,A/B,0,0,Storm,2025-11-26,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
762,Warrumbungle,LGA,18020,New South Wales,NSW - Western NSW Storms and Floods (10-12 April 2020),918,1,1,0,0,A/B,0,0,"Flood, Storm",2020-04-10,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
763,Warrumbungle,LGA,18020,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,1,Flood,2021-11-09,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
764,Warrumbungle,LGA,18020,New South Wales,AGRN 1030 - Southern and Central West Flooding (4 August 2022 onwards),1030,1,1,0,1,C/D,0,0,Flood,2022-08-04,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
765,Warrumbungle,LGA,18020,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,0,1,Flood,2022-09-14,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
766,Warrumbungle,LGA,18020,New South Wales,AGRN 1203 - NSW Warrumbungle and Narrabri Bushfire (26 February -13 March 2025),1203,0,1,0,0,A/B,0,0,Storm,2025-02-26,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
767,Warrumbungle,LGA,18020,New South Wales,AGRN 1230 - NSW Dubbo and Warrumbungle Bushfire (from 27 November 2025),1230,1,1,0,0,A/B,0,0,Bushfire,2025-11-27,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
768,Waverley,LGA,18050,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22,True,True,AMBIGUOUS_RECORD,"C flag recorded, but exact measure and common risk set not certified",False,False,,1012_M01,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
769,Waverley,LGA,18050,New South Wales,AGRN 1240 - Bondi NSW Terrorist Attack 14 December 2025,1240,1,1,1,1,C/D,0,0,,2025-12-14,True,True,NOT_COMPARABLE,Terrorist attack excluded from proposed natural-disaster study,False,False,,1240_M01,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
770,Weddin,LGA,18100,New South Wales,AGRN 945 - NSW Storms (28 November 2020 onwards),945,1,1,0,0,A/B,0,0,Storm,2020-11-28,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
771,Weddin,LGA,18100,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,1,Flood,2021-11-09,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
772,Weddin,LGA,18100,New South Wales,AGRN 1001 - NSW - Southern NSW Storm and Floods (5 January 2022 onwards),1001,1,1,0,1,C/D,0,0,Flood,2022-01-05,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
773,Weddin,LGA,18100,New South Wales,AGRN 1030 - Southern and Central West Flooding (4 August 2022 onwards),1030,1,1,0,1,C/D,0,0,Flood,2022-08-04,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
774,Weddin,LGA,18100,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,1,1,Flood,2022-09-14,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
775,Wentworth,LGA,18200,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,1,Flood,2021-11-09,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
776,Wentworth,LGA,18200,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,1,1,Flood,2022-09-14,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
777,Wentworth,LGA,18200,New South Wales,AGRN 1278 - Far West NSW Severe Weather Event (from 7 February - 13 March 2026),1278,0,1,0,0,A/B,0,0,Storm,2026-02-07,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
778,Willoughby,LGA,18250,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,0,0,Flood,2022-02-22,True,True,AMBIGUOUS_RECORD,"C flag recorded, but exact measure and common risk set not certified",False,False,,1012_M01,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
779,Wingecarribee,LGA,18350,New South Wales,Sydney and Southern Highlands Storms (5 September 2019 onwards),881,1,1,0,0,A/B,0,0,Storm,2019-09-05,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
780,Wingecarribee,LGA,18350,New South Wales,AGRN 923 - NSW Storms and Floods (5 August 2020 onwards),923,1,1,0,0,A/B,0,0,Flood,2020-08-05,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
781,Wingecarribee,LGA,18350,New South Wales,AGRN 945 - NSW Storms (28 November 2020 onwards),945,1,1,0,0,A/B,0,0,Storm,2020-11-28,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
782,Wingecarribee,LGA,18350,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10,True,True,AMBIGUOUS_RECORD,"C flag recorded, but exact measure and common risk set not certified",False,False,,960_M01,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
783,Wingecarribee,LGA,18350,New South Wales,AGRN 970 - Southern NSW Storms and Floods (5 May 2021 onwards),970,1,1,0,0,A/B,0,0,Storm,2021-05-05,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
784,Wingecarribee,LGA,18350,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22,True,True,AMBIGUOUS_RECORD,"C flag recorded, but exact measure and common risk set not certified",False,False,,1012_M01,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
785,Wingecarribee,LGA,18350,New South Wales,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,1,1,0,1,C/D,1,1,Flood,2022-06-27,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
786,Wingecarribee,LGA,18350,New South Wales,AGRN 1027 - Wingecarribee Severe Storm (19 April 2022),1027,1,1,0,0,A/B,0,0,Storm,2022-04-19,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
787,Wingecarribee,LGA,18350,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,0,A/B,0,1,Flood,2022-09-14,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
788,Wingecarribee,LGA,18350,New South Wales,AGRN 1119 - NSW East Coast Flooding (from 1 April 2024 onwards),1119,1,1,0,0,A/B,0,0,Flood,2024-04-01,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
789,Wingecarribee,LGA,18350,New South Wales,AGRN 1129 - NSW Severe Weather (4 June 2024 onwards),1129,1,1,0,0,A/B,0,0,Flood,2024-06-04,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
790,Wingecarribee,LGA,18350,New South Wales,AGRN 1155 - Wingecarribee NSW Storm (28 August 2024 onwards),1155,0,1,0,0,A/B,0,0,Storm,2024-08-28,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
791,Wingecarribee,LGA,18350,New South Wales,AGRN 1170 - NSW Severe Weather and Storms from 15 January 2025,1170,1,1,0,0,A/B,0,0,Storm,2025-01-15,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
792,Wingecarribee,LGA,18350,New South Wales,AGRN 1212- NSW East Coast Severe Weather (from 18 May 2025),1212,1,1,1,1,C/D,0,0,Storm,2025-05-18,True,True,AMBIGUOUS_RECORD,"C flag recorded, but exact measure and common risk set not certified",False,False,,1212_M01,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
793,Wingecarribee,LGA,18350,New South Wales,AGRN 1217 - NSW South Coast Severe Weather (from 30 June 2025),1217,0,1,0,0,A/B,0,0,Storm,2025-06-30,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
794,Wollondilly,LGA,18400,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10,True,True,AMBIGUOUS_RECORD,"C flag recorded, but exact measure and common risk set not certified",False,False,,960_M01,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
795,Wollondilly,LGA,18400,New South Wales,AGRN 982 - Severe Weather Event Accross NSW (23 October 2021 onwards),982,1,1,0,0,A/B,0,0,Storm,2021-10-23,True,False,UNKNOWN_ELIGIBILITY,No measure-specific eligibility/consideration record; raw zero is not a denial,False,False,,,outputs/experiment4_funding_access_feasibility/inputs/drfa_activation_history_by_location_2026_august_11.csv,https://data.gov.au/data/dataset/10ba7303-e3af-41b4-98b5-e04db77caea8/resource/ada7908b-afe6-48f3-966b-789aa26c1391/download/drfa_activation_history_by_location_2026_august_11.csv
