council_key,target_year,forecast_cutoff,announced_target_fag_advance_pct
walgett,2018,2018-07-01,50.0
walgett,2019,2019-07-01,52.0
walgett,2020,2020-07-01,50.0
walgett,2021,2021-07-01,50.0
walgett,2022,2022-07-01,75.0
walgett,2023,2023-07-01,100.0
walgett,2024,2024-07-01,85.0
warren,2017,2017-07-01,50.0
warren,2018,2018-07-01,50.0
warren,2019,2019-07-01,52.0
warren,2020,2020-07-01,50.0
warren,2021,2021-07-01,50.0
warren,2022,2022-07-01,75.0
warren,2023,2023-07-01,100.0
warren,2024,2024-07-01,85.0
warrumbungle,2017,2017-07-01,50.0
warrumbungle,2018,2018-07-01,50.0
warrumbungle,2019,2019-07-01,52.0
warrumbungle,2020,2020-07-01,50.0
warrumbungle,2021,2021-07-01,50.0
warrumbungle,2022,2022-07-01,75.0
warrumbungle,2023,2023-07-01,100.0
warrumbungle,2024,2024-07-01,85.0
waverley,2017,2017-07-01,50.0
waverley,2018,2018-07-01,50.0
waverley,2019,2019-07-01,52.0
waverley,2020,2020-07-01,50.0
waverley,2021,2021-07-01,50.0
waverley,2022,2022-07-01,75.0
waverley,2023,2023-07-01,100.0
waverley,2024,2024-07-01,85.0
weddin,2017,2017-07-01,50.0
weddin,2018,2018-07-01,50.0
weddin,2019,2019-07-01,52.0
weddin,2020,2020-07-01,50.0
weddin,2021,2021-07-01,50.0
weddin,2022,2022-07-01,75.0
weddin,2023,2023-07-01,100.0
weddin,2024,2024-07-01,85.0
wentworth,2017,2017-07-01,50.0
wentworth,2018,2018-07-01,50.0
wentworth,2019,2019-07-01,52.0
wentworth,2020,2020-07-01,50.0
wentworth,2021,2021-07-01,50.0
wentworth,2022,2022-07-01,75.0
wentworth,2023,2023-07-01,100.0
wentworth,2024,2024-07-01,85.0
willoughby,2017,2017-07-01,50.0
willoughby,2018,2018-07-01,50.0
willoughby,2019,2019-07-01,52.0
willoughby,2020,2020-07-01,50.0
willoughby,2021,2021-07-01,50.0
willoughby,2022,2022-07-01,75.0
willoughby,2023,2023-07-01,100.0
willoughby,2024,2024-07-01,85.0
wingecarribee,2017,2017-07-01,50.0
wingecarribee,2018,2018-07-01,50.0
wingecarribee,2019,2019-07-01,52.0
wingecarribee,2020,2020-07-01,50.0
wingecarribee,2021,2021-07-01,50.0
wingecarribee,2022,2022-07-01,75.0
wingecarribee,2023,2023-07-01,100.0
wingecarribee,2024,2024-07-01,85.0
wollondilly,2017,2017-07-01,50.0
wollondilly,2018,2018-07-01,50.0
wollondilly,2019,2019-07-01,52.0
wollondilly,2020,2020-07-01,50.0
wollondilly,2021,2021-07-01,50.0
wollondilly,2022,2022-07-01,75.0
wollondilly,2023,2023-07-01,100.0
wollondilly,2024,2024-07-01,85.0
wollongong,2017,2017-07-01,50.0
wollongong,2018,2018-07-01,50.0
wollongong,2019,2019-07-01,52.0
wollongong,2020,2020-07-01,50.0
wollongong,2021,2021-07-01,50.0
wollongong,2022,2022-07-01,75.0
wollongong,2023,2023-07-01,100.0
wollongong,2024,2024-07-01,85.0
woollahra,2017,2017-07-01,50.0
woollahra,2018,2018-07-01,50.0
woollahra,2019,2019-07-01,52.0
woollahra,2020,2020-07-01,50.0
woollahra,2021,2021-07-01,50.0
woollahra,2022,2022-07-01,75.0
woollahra,2023,2023-07-01,100.0
woollahra,2024,2024-07-01,85.0
yassvalley,2017,2017-07-01,50.0
yassvalley,2018,2018-07-01,50.0
yassvalley,2019,2019-07-01,52.0
yassvalley,2020,2020-07-01,50.0
yassvalley,2021,2021-07-01,50.0
yassvalley,2022,2022-07-01,75.0
yassvalley,2023,2023-07-01,100.0
yassvalley,2024,2024-07-01,85.0
