source_csv_row,council_key,agrn,event_start,capacity_financial_year,capacity_period_end,lag_days,publication_before_event_verified,operating_ratio_pct,cash_cover_months,current_ratio,own_source_pct,grants_pct,debt_service_cover,debt_service_ratio_pct,population,road_km
245,fairfield,1012,2022-02-22,2020-21,2021-06-30,237,False,3.3,4.5,1.92,80.17,19.766699669801127,29.08,0.800906942509546,210825,685.2499999999999
246,fairfield,1025,2022-06-27,2020-21,2021-06-30,362,False,3.3,4.5,1.92,80.17,19.766699669801127,29.08,0.800906942509546,210825,685.2499999999999
250,forbes,987,2021-11-09,2020-21,2021-06-30,132,False,-13.87,15.08,2.98,62.47,37.05825218539088,1.99,9.510861704897168,9920,1869.17
251,forbes,992,2021-07-30,2020-21,2021-06-30,30,False,-13.87,15.08,2.98,62.47,37.05825218539088,1.99,9.510861704897168,9920,1869.17
252,forbes,1030,2022-08-04,2021-22,2022-06-30,35,False,-9.85,2.805,1.8272,58.06,41.52957057285075,2.3534,9.300520145951404,9383,1869.17
253,forbes,1034,2022-09-14,2021-22,2022-06-30,76,False,-9.85,2.805,1.8272,58.06,41.52957057285075,2.3534,9.300520145951404,9383,1869.17
257,gilgandra,917,2020-04-03,2018-19,2019-06-30,278,False,1.21,10.8,4.17,66.72,33.28,8.96,2.0273065784029787,4226,1308.66
258,gilgandra,918,2020-04-10,2018-19,2019-06-30,285,False,1.21,10.8,4.17,66.72,33.28,8.96,2.0273065784029787,4226,1308.66
259,gilgandra,960,2021-03-10,2019-20,2020-06-30,253,False,7.22,14.08,4.04,70.23,29.769999999999996,9.9,2.4242237555446033,4239,1303.61
260,gilgandra,987,2021-11-09,2020-21,2021-06-30,132,False,0.96,11.42,3.86,63.97,36.0339792938678,7.0,2.794139858027488,4229,1303.61
261,gilgandra,1030,2022-08-04,2021-22,2022-06-30,35,False,6.18,11.1377,3.2775,66.81,33.108359462188446,9.103,2.6131257334211053,4319,1303.61
262,gilgandra,1034,2022-09-14,2021-22,2022-06-30,76,False,6.18,11.1377,3.2775,66.81,33.108359462188446,9.103,2.6131257334211053,4319,1303.61
263,gilgandra,1182,2024-11-25,2023-24,2024-06-30,148,False,8.3,10.7062,4.8507,60.25,39.58394861193148,14.5389,2.145945515796175,4305,1303.61
264,gleninnessevern,943,2020-12-10,2019-20,2020-06-30,163,False,-1.97,8.21,2.43,56.59,43.41,3.07,8.325116676526655,8871,1170.5000000000002
265,gleninnessevern,948,2021-01-02,2019-20,2020-06-30,186,False,-1.97,8.21,2.43,56.59,43.41,3.07,8.325116676526655,8871,1170.5000000000002
266,gleninnessevern,949,2020-12-02,2019-20,2020-06-30,155,False,-1.97,8.21,2.43,56.59,43.41,3.07,8.325116676526655,8871,1170.5000000000002
267,gleninnessevern,960,2021-03-10,2019-20,2020-06-30,253,False,-1.97,8.21,2.43,56.59,43.41,3.07,8.325116676526655,8871,1170.5000000000002
268,gleninnessevern,975,2021-07-16,2020-21,2021-06-30,16,False,-4.81,12.56,0.88,54.89,45.06381648142357,2.61,8.500508914206915,8873,1162.0000000000002
269,gleninnessevern,987,2021-11-09,2020-21,2021-06-30,132,False,-4.81,12.56,0.88,54.89,45.06381648142357,2.61,8.500508914206915,8873,1162.0000000000002
270,gleninnessevern,1012,2022-02-22,2020-21,2021-06-30,237,False,-4.81,12.56,0.88,54.89,45.06381648142357,2.61,8.500508914206915,8873,1162.0000000000002
271,gleninnessevern,1034,2022-09-14,2021-22,2022-06-30,76,False,1.23,11.9695,1.3011,45.8,54.1990337248958,3.3863,8.362562303858224,8922,1167.0000000000002
272,gleninnessevern,1198,2025-03-03,2023-24,2024-06-30,246,False,-11.16,11.2229,2.6357,39.09,61.06760017404375,2.8855,9.380221179091414,8978,1164.4
273,goulburnmulwaree,923,2020-08-05,2019-20,2020-06-30,36,False,7.93,22.79,3.81,61.86,38.14,7.84,4.721462501799338,31132,1187.7525101
274,goulburnmulwaree,960,2021-03-10,2019-20,2020-06-30,253,False,7.93,22.79,3.81,61.86,38.14,7.84,4.721462501799338,31132,1187.7525101
275,goulburnmulwaree,987,2021-11-09,2020-21,2021-06-30,132,False,5.8,24.06,2.69,55.3,44.60730249027689,8.71,4.346318184340491,31554,1187.91
276,goulburnmulwaree,1001,2022-01-05,2020-21,2021-06-30,189,False,5.8,24.06,2.69,55.3,44.60730249027689,8.71,4.346318184340491,31554,1187.91
277,goulburnmulwaree,1012,2022-02-22,2020-21,2021-06-30,237,False,5.8,24.06,2.69,55.3,44.60730249027689,8.71,4.346318184340491,31554,1187.91
278,goulburnmulwaree,1030,2022-08-04,2021-22,2022-06-30,35,False,6.16,22.2727,2.6866,52.58,45.67934667625778,7.0551,5.217041604718613,32138,1189.84
279,goulburnmulwaree,1034,2022-09-14,2021-22,2022-06-30,76,False,6.16,22.2727,2.6866,52.58,45.67934667625778,7.0551,5.217041604718613,32138,1189.84
280,goulburnmulwaree,1289,2026-02-25,2024-25,2025-06-30,240,False,,,,,43.78741243536694,,,33112,1190.71
281,greaterhume,856,2019-01-22,2017-18,2018-06-30,206,False,8.08,11.32,4.96,47.71,52.28618080288366,12.39,2.701648298059105,10602,2077.15
282,greaterhume,960,2021-03-10,2019-20,2020-06-30,253,False,-10.51,10.76,5.11,49.66,50.34,7.12,2.5221456692913384,10764,2080.57
283,greaterhume,987,2021-11-09,2020-21,2021-06-30,132,False,0.04,7.59,4.28,38.65,61.00294078074846,11.74,2.2787239146078195,10841,2082.7000000000003
284,greaterhume,1001,2022-01-05,2020-21,2021-06-30,189,False,0.04,7.59,4.28,38.65,61.00294078074846,11.74,2.2787239146078195,10841,2082.7000000000003
285,greaterhume,1034,2022-09-14,2021-22,2022-06-30,76,False,-0.41,10.5928,4.952,43.22,55.30674977586133,12.2494,2.3402135231316725,11105,2084.21
286,griffith,1001,2022-01-05,2020-21,2021-06-30,189,False,3.96,18.55,2.39,67.3,32.70419527882854,5.67,5.310957551826259,27155,1270.6799999999998
287,griffith,1030,2022-08-04,2021-22,2022-06-30,35,False,5.35,15.3818,2.1857,61.82,38.08588401966737,5.2307,5.906377141431935,27182,1207.0159999999998
288,griffith,1034,2022-09-14,2021-22,2022-06-30,76,False,5.35,15.3818,2.1857,61.82,38.08588401966737,5.2307,5.906377141431935,27182,1207.0159999999998
289,griffith,1207,2024-12-07,2023-24,2024-06-30,160,False,0.5,10.5784,1.3431,64.5,35.42331288343558,4.5061,6.064420161336461,27340,1280.13
290,gunnedah,960,2021-03-10,2019-20,2020-06-30,253,False,10.59,20.98,3.32,60.36,39.64,11.76,2.81707218494867,12681,1469.65
291,gunnedah,987,2021-11-09,2020-21,2021-06-30,132,False,7.99,20.62,2.17,55.13,44.872237027747296,12.06,2.6624548736462095,12690,1469.65
292,gunnedah,1030,2022-08-04,2021-22,2022-06-30,35,False,9.1,27.1688,3.6214,48.4,51.60392039094707,11.8891,2.790257744147553,13085,1469.65
293,gunnedah,1034,2022-09-14,2021-22,2022-06-30,76,False,9.1,27.1688,3.6214,48.4,51.60392039094707,11.8891,2.790257744147553,13085,1469.65
294,gunnedah,1204,2025-03-28,2023-24,2024-06-30,271,False,9.63,21.8023,4.0256,43.7,56.302351075491984,13.0459,3.3568828944551488,13392,1469.65
295,gunnedah,1216,2025-07-31,2024-25,2025-06-30,31,False,,,,,40.05372886926452,,,13392,1457.0
296,gwydir,789,2018-01-02,2016-17,2017-06-30,186,False,16.52,5.1212,2.0166,52.0,47.9985754985755,6.8119000000000005,6.449035912705617,5326,2018.66
297,gwydir,943,2020-12-10,2019-20,2020-06-30,163,False,-4.11,1.92,1.68,58.55,41.45,4.04,6.581308669243511,5353,2058.776
298,gwydir,960,2021-03-10,2019-20,2020-06-30,253,False,-4.11,1.92,1.68,58.55,41.45,4.04,6.581308669243511,5353,2058.776
299,gwydir,987,2021-11-09,2020-21,2021-06-30,132,False,-3.67,3.46,0.89,59.04,40.96130255380841,4.73,5.258859009801458,5299,2004.183
300,gwydir,1034,2022-09-14,2021-22,2022-06-30,76,False,-15.15,1.5134,1.1528,42.14,57.621265123326125,2.6514,5.212664942208834,4911,2328.886
301,gwydir,1053,2023-01-18,2021-22,2022-06-30,202,False,-15.15,1.5134,1.1528,42.14,57.621265123326125,2.6514,5.212664942208834,4911,2328.886
302,gwydir,1054,2023-03-01,2021-22,2022-06-30,244,False,-15.15,1.5134,1.1528,42.14,57.621265123326125,2.6514,5.212664942208834,4911,2328.886
303,gwydir,1119,2024-04-01,2022-23,2023-06-30,276,False,-7.48,8.8254,3.2531,35.95,64.05302216419021,2.8587,8.427480916030534,4924,2326.785
304,gwydir,1199,2025-01-27,2023-24,2024-06-30,211,False,-0.91,9.6503,3.1441,44.21,55.791882614255904,5.6117,5.937680148062745,4893,2342.8909999999996
305,gwydir,1204,2025-03-28,2023-24,2024-06-30,271,False,-0.91,9.6503,3.1441,44.21,55.791882614255904,5.6117,5.937680148062745,4893,2342.8909999999996
306,gwydir,1247,2025-11-26,2024-25,2025-06-30,149,False,,,,,49.2025424723699,,,4893,2338.961
307,hawkesbury,881,2019-09-05,2018-19,2019-06-30,67,False,3.77,12.7,3.21,67.6,32.400000000000006,17.79,1.3307683878587169,67083,1047.515
308,hawkesbury,960,2021-03-10,2019-20,2020-06-30,253,False,1.21,10.66,2.61,72.55,27.450000000000003,11.33,2.147149775366124,67296,1051.4699999999998
309,hawkesbury,1012,2022-02-22,2020-21,2021-06-30,237,False,-5.13,9.63,3.03,77.39,22.613283017414822,16.25,1.435981435981436,67749,1051.782
310,hawkesbury,1025,2022-06-27,2020-21,2021-06-30,362,False,-5.13,9.63,3.03,77.39,22.613283017414822,16.25,1.435981435981436,67749,1051.782
311,hawkesbury,1034,2022-09-14,2021-22,2022-06-30,76,False,10.52,12.0034,2.1228,60.92,36.090471419825235,15.1194,2.141673053956257,67581,1055.67
312,hawkesbury,1119,2024-04-01,2022-23,2023-06-30,276,False,14.06,10.9051,3.0076,52.03,47.79645982016854,7.874,6.049367453743767,67862,1059.27
313,hawkesbury,1170,2025-01-15,2023-24,2024-06-30,199,False,13.01,8.6327,3.6265,48.58,51.42210456519246,7.046,7.162911730466343,68704,1064.35
314,hawkesbury,1197,2025-01-05,2023-24,2024-06-30,189,False,13.01,8.6327,3.6265,48.58,51.42210456519246,7.046,7.162911730466343,68704,1064.35
315,hawkesbury,1212,2025-05-18,2023-24,2024-06-30,322,False,13.01,8.6327,3.6265,48.58,51.42210456519246,7.046,7.162911730466343,68704,1064.35
316,hay,1001,2022-01-05,2020-21,2021-06-30,189,False,-0.16,15.25,4.01,27.11,72.54865443709842,11.67,2.475788815995002,2943,941.36
317,hay,1034,2022-09-14,2021-22,2022-06-30,76,False,12.89,17.1096,2.6661,29.23,70.76855810338127,18.0162,2.128538954329407,2883,941.36
333,huntershill,960,2021-03-10,2019-20,2020-06-30,253,False,3.42,3.5,5.06,91.27,8.730000000000004,0.0,0.0,14980,55.78
344,junee,1001,2022-01-05,2020-21,2021-06-30,189,False,-3.33,2.81,1.47,48.98,51.02424356323999,2.23,9.193970350068518,6676,877.3
345,junee,1030,2022-08-04,2021-22,2022-06-30,35,False,9.3,4.7297,2.58,53.78,43.720565149136576,4.4113,7.077479778629205,6450,878.1
346,junee,1034,2022-09-14,2021-22,2022-06-30,76,False,9.3,4.7297,2.58,53.78,43.720565149136576,4.4113,7.077479778629205,6450,878.1
347,kempsey,943,2020-12-10,2019-20,2020-06-30,163,False,-6.64,10.55,1.69,67.23,32.769999999999996,3.75,8.559721150520181,29745,1254.47
348,kempsey,960,2021-03-10,2019-20,2020-06-30,253,False,-6.64,10.55,1.69,67.23,32.769999999999996,3.75,8.559721150520181,29745,1254.47
349,kempsey,1012,2022-02-22,2020-21,2021-06-30,237,False,2.69,10.17,2.72,63.74,36.25784964789439,4.7,7.429510132316894,29921,1259.25
350,kempsey,1025,2022-06-27,2020-21,2021-06-30,362,False,2.69,10.17,2.72,63.74,36.25784964789439,4.7,7.429510132316894,29921,1259.25
351,kempsey,1071,2023-08-21,2022-23,2023-06-30,52,False,7.74,11.4068,1.5225,55.54,44.45746587618916,4.5423,8.70137788074625,31180,1262.4000000000003
352,kempsey,1076,2023-10-16,2022-23,2023-06-30,108,False,7.74,11.4068,1.5225,55.54,44.45746587618916,4.5423,8.70137788074625,31180,1262.4000000000003
353,kempsey,1198,2025-03-03,2023-24,2024-06-30,246,False,2.37,11.2849,2.1928,59.74,40.257662136616005,4.4022,7.578505515062337,31718,1263.0
354,kempsey,1212,2025-05-18,2023-24,2024-06-30,322,False,2.37,11.2849,2.1928,59.74,40.257662136616005,4.4022,7.578505515062337,31718,1263.0
355,kempsey,1216,2025-07-31,2024-25,2025-06-30,31,False,,,,,36.90099858189553,,,31718,1266.09
356,kempsey,1237,2025-10-06,2024-25,2025-06-30,98,False,,,,,36.90099858189553,,,31718,1266.09
357,kiama,923,2020-08-05,2019-20,2020-06-30,36,False,-13.32,3.78,1.0,69.29,34.1,0.06,28.41865298870227,23386,268.08000000000004
358,kiama,1012,2022-02-22,2020-21,2021-06-30,237,False,,,,,,,,23685,268.08000000000004
359,kiama,1025,2022-06-27,2020-21,2021-06-30,362,False,,,,,,,,23685,268.08000000000004
360,kiama,1119,2024-04-01,2022-23,2023-06-30,276,False,-10.01,5.1507,0.6364,73.15,24.43024445185092,0.1536,47.00753592709429,22964,276.55807
361,kiama,1127,2024-05-09,2022-23,2023-06-30,314,False,-10.01,5.1507,0.6364,73.15,24.43024445185092,0.1536,47.00753592709429,22964,276.55807
362,kiama,1129,2024-06-04,2022-23,2023-06-30,340,False,-10.01,5.1507,0.6364,73.15,24.43024445185092,0.1536,47.00753592709429,22964,276.55807
363,kiama,1212,2025-05-18,2023-24,2024-06-30,322,False,-17.57,6.8115,2.634,64.41,35.481539736858885,-1.3345,2.7973585806348957,23173,276.56
364,kuringgai,960,2021-03-10,2019-20,2020-06-30,253,False,4.59,15.58,3.42,83.83,16.17,19.99,0.9026099655969346,127153,479.779
365,kuringgai,1012,2022-02-22,2020-21,2021-06-30,237,False,5.85,15.12,2.3,82.03,17.97465912014407,30.56,0.6854715080373177,127603,482.595
366,kuringgai,1170,2025-01-15,2023-24,2024-06-30,199,False,1.65,12.5565,4.0021,82.86,17.139219931915957,6.4947,3.0647226742790066,128362,482.19000000000005
367,kyogle,823,2018-08-12,2017-18,2018-06-30,43,False,8.75,11.12,5.63,52.91,47.08582195085853,21.21,1.6395510152604365,8979,1217.33
368,kyogle,943,2020-12-10,2019-20,2020-06-30,163,False,11.88,10.78,5.95,48.67,51.33,16.55,2.4213244016467796,8796,1211.2300000000002
369,kyogle,954,2021-02-19,2019-20,2020-06-30,234,False,11.88,10.78,5.95,48.67,51.33,16.55,2.4213244016467796,8796,1211.2300000000002
370,kyogle,960,2021-03-10,2019-20,2020-06-30,253,False,11.88,10.78,5.95,48.67,51.33,16.55,2.4213244016467796,8796,1211.2300000000002
371,kyogle,987,2021-11-09,2020-21,2021-06-30,132,False,7.05,9.18,5.2,44.07,55.92877094972067,10.27,3.462588749317313,8788,1206.5300000000002
372,kyogle,1012,2022-02-22,2020-21,2021-06-30,237,False,7.05,9.18,5.2,44.07,55.92877094972067,10.27,3.462588749317313,8788,1206.5300000000002
373,kyogle,1034,2022-09-14,2021-22,2022-06-30,76,False,28.9,19.199,14.7007,34.48,65.5219101928989,13.3857,3.989739943112556,9344,1206.5300000000002
374,kyogle,1075,2023-10-13,2022-23,2023-06-30,105,False,14.26,19.3004,5.3664,20.57,79.43492554303043,7.5318,6.45808135463747,9453,1206.5300000000002
375,kyogle,1173,2024-11-07,2023-24,2024-06-30,130,False,14.99,19.3341,4.7836,30.59,69.40694799140623,8.2484,5.6761501379329555,9582,1199.5890000000002
376,kyogle,1198,2025-03-03,2023-24,2024-06-30,246,False,14.99,19.3341,4.7836,30.59,69.40694799140623,8.2484,5.6761501379329555,9582,1199.5890000000002
381,lakemacquarie,960,2021-03-10,2019-20,2020-06-30,253,False,-2.5,10.15,4.26,71.41,28.590000000000003,5.09,4.98050962209183,205901,1385.2299999999998
382,lakemacquarie,1012,2022-02-22,2020-21,2021-06-30,237,False,0.99,11.5,4.14,72.58,26.822820432644473,6.23,4.750205397206598,207775,1393.41
383,lakemacquarie,1025,2022-06-27,2020-21,2021-06-30,362,False,0.99,11.5,4.14,72.58,26.822820432644473,6.23,4.750205397206598,207775,1393.41
384,lakemacquarie,1119,2024-04-01,2022-23,2023-06-30,276,False,3.97,12.3516,3.9489,69.57,29.87832776489115,5.0336,5.964518972493875,216603,1447.986
385,lakemacquarie,1133,2023-10-01,2022-23,2023-06-30,93,False,3.97,12.3516,3.9489,69.57,29.87832776489115,5.0336,5.964518972493875,216603,1447.986
386,lakemacquarie,1170,2025-01-15,2023-24,2024-06-30,199,False,0.6,11.9251,4.3378,59.88,39.65885136311185,3.6433,8.66081189052215,221859,1451.1399999999996
387,lakemacquarie,1212,2025-05-18,2023-24,2024-06-30,322,False,0.6,11.9251,4.3378,59.88,39.65885136311185,3.6433,8.66081189052215,221859,1451.1399999999996
388,lakemacquarie,1232,2025-12-06,2024-25,2025-06-30,159,False,,,,,33.84956849786352,,,221859,1446.39
389,leeton,1001,2022-01-05,2020-21,2021-06-30,189,False,-13.88,17.58,3.41,59.63,40.371928730975014,5.35,1.77983278439321,11343,905.9
390,leeton,1030,2022-08-04,2021-22,2022-06-30,35,False,0.12,19.5675,4.27,65.02,34.97875465561559,14.9772,1.719768283852281,11481,905.9
391,leeton,1034,2022-09-14,2021-22,2022-06-30,76,False,0.12,19.5675,4.27,65.02,34.97875465561559,14.9772,1.719768283852281,11481,905.9
392,lismore,823,2018-08-12,2017-18,2018-06-30,43,False,1.44,7.46,1.37,71.36,28.63608367306811,3.41,7.468155805796567,43905,1223.03
393,lismore,943,2020-12-10,2019-20,2020-06-30,163,False,2.63,9.68,2.33,66.72,33.28,2.54,9.929084015977253,43692,1230.88
394,lismore,954,2021-02-19,2019-20,2020-06-30,234,False,2.63,9.68,2.33,66.72,33.28,2.54,9.929084015977253,43692,1230.88
395,lismore,960,2021-03-10,2019-20,2020-06-30,253,False,2.63,9.68,2.33,66.72,33.28,2.54,9.929084015977253,43692,1230.88
396,lismore,987,2021-11-09,2020-21,2021-06-30,132,False,-9.93,13.33,1.84,64.37,35.64249720044793,3.04,8.211106129507462,43667,1233.6
397,lismore,1012,2022-02-22,2020-21,2021-06-30,237,False,-9.93,13.33,1.84,64.37,35.64249720044793,3.04,8.211106129507462,43667,1233.6
398,lismore,1034,2022-09-14,2021-22,2022-06-30,76,False,0.88,14.1387,2.3778,56.13,43.85070894377993,4.7331,6.25013668073567,44344,1233.6
399,lismore,1101,2023-12-31,2022-23,2023-06-30,184,False,-4.09,12.0423,2.0668,46.98,52.98466998570513,2.892,9.012799462646466,44276,1241.4
400,lismore,1119,2024-04-01,2022-23,2023-06-30,276,False,-4.09,12.0423,2.0668,46.98,52.98466998570513,2.892,9.012799462646466,44276,1241.4
401,lismore,1151,2024-08-11,2023-24,2024-06-30,42,False,-2.08,19.6076,1.9224,43.28,56.719609683815264,3.5984,7.974306325295731,43783,1242.1
402,lismore,1162,2024-09-24,2023-24,2024-06-30,86,False,-2.08,19.6076,1.9224,43.28,56.719609683815264,3.5984,7.974306325295731,43783,1242.1
403,lismore,1198,2025-03-03,2023-24,2024-06-30,246,False,-2.08,19.6076,1.9224,43.28,56.719609683815264,3.5984,7.974306325295731,43783,1242.1
404,lithgow,960,2021-03-10,2019-20,2020-06-30,253,False,-5.01,0.57,3.6,76.01,23.989999999999995,3.21,7.584228180840066,21605,1335.63
405,lithgow,987,2021-11-09,2020-21,2021-06-30,132,False,-2.19,8.57,2.23,70.84,28.866410617180662,5.66,4.422757475083056,21516,924.487
406,lithgow,996,2022-01-11,2020-21,2021-06-30,195,False,-2.19,8.57,2.23,70.84,28.866410617180662,5.66,4.422757475083056,21516,924.487
407,lithgow,1012,2022-02-22,2020-21,2021-06-30,237,False,-2.19,8.57,2.23,70.84,28.866410617180662,5.66,4.422757475083056,21516,924.487
408,lithgow,1025,2022-06-27,2020-21,2021-06-30,362,False,-2.19,8.57,2.23,70.84,28.866410617180662,5.66,4.422757475083056,21516,924.487
409,lithgow,1034,2022-09-14,2021-22,2022-06-30,76,False,4.91,9.5617,2.473,61.37,38.62681141781478,7.325,4.297147768168878,20854,924.49
410,lithgow,1119,2024-04-01,2022-23,2023-06-30,276,False,20.89,9.7922,2.5183,44.24,55.75704169276668,15.9975,4.070393627182019,20813,924.49
411,lithgow,1136,2023-11-11,2022-23,2023-06-30,134,False,20.89,9.7922,2.5183,44.24,55.75704169276668,15.9975,4.070393627182019,20813,924.49
412,lithgow,1193,2024-12-23,2023-24,2024-06-30,176,False,3.03,16.5807,2.6733,62.38,36.17119137143974,3.1478,10.095203880007183,20740,924.49
413,lithgow,1239,2025-12-09,2024-25,2025-06-30,162,False,,,,,30.337975694136432,,,20740,918.1
414,lithgow,1246,2025-11-16,2024-25,2025-06-30,139,False,,,,,30.337975694136432,,,20740,918.1
415,liverpool,923,2020-08-05,2019-20,2020-06-30,36,False,-2.42,9.46,1.71,59.6,40.4,3.3,6.024918575195161,227585,943.292
416,liverpool,960,2021-03-10,2019-20,2020-06-30,253,False,-2.42,9.46,1.71,59.6,40.4,3.3,6.024918575195161,227585,943.292
417,liverpool,1012,2022-02-22,2020-21,2021-06-30,237,False,-5.04,13.05,1.48,51.37,48.38650997603442,3.42,5.134546993219758,231296,959.11
418,liverpool,1025,2022-06-27,2020-21,2021-06-30,362,False,-5.04,13.05,1.48,51.37,48.38650997603442,3.42,5.134546993219758,231296,959.11
419,liverpool,1119,2024-04-01,2022-23,2023-06-30,276,False,1.18,17.8836,2.1051,53.21,46.7117381001388,2.7949,8.51107426932176,239755,981.73
420,liverpoolplains,960,2021-03-10,2019-20,2020-06-30,253,False,-35.28,19.2,4.25,62.31,37.69,8.97,2.464332036316472,7903,1393.91
421,liverpoolplains,987,2021-11-09,2020-21,2021-06-30,132,False,-33.87,16.9,4.48,54.21,45.79334612923864,10.82,2.1249369886385665,7853,1393.91
422,liverpoolplains,1030,2022-08-04,2021-22,2022-06-30,35,False,-19.42,12.6937,8.0945,42.06,57.94241345842769,15.0277,1.7569444444444442,7608,1393.91
423,liverpoolplains,1034,2022-09-14,2021-22,2022-06-30,76,False,-19.42,12.6937,8.0945,42.06,57.94241345842769,15.0277,1.7569444444444442,7608,1393.91
424,liverpoolplains,1055,2023-02-17,2021-22,2022-06-30,232,False,-19.42,12.6937,8.0945,42.06,57.94241345842769,15.0277,1.7569444444444442,7608,1393.91
425,liverpoolplains,1204,2025-03-28,2023-24,2024-06-30,271,False,-8.01,18.2874,37.3365,51.39,48.60949904823808,13.0156,3.339289702926066,7670,1393.91
426,lockhart,987,2021-11-09,2020-21,2021-06-30,132,False,9.51,11.98,5.22,25.87,74.11815859557585,16.27,2.5853154084798344,3259,1368.44
427,lockhart,1001,2022-01-05,2020-21,2021-06-30,189,False,9.51,11.98,5.22,25.87,74.11815859557585,16.27,2.5853154084798344,3259,1368.44
428,lockhart,1034,2022-09-14,2021-22,2022-06-30,76,False,2.64,12.8853,8.75,27.73,72.25352112676056,15.3689,2.4359450427033047,3328,1368.44
429,lockhart,1178,2024-11-30,2023-24,2024-06-30,153,False,-16.97,9.1487,4.9262,28.16,71.84470544369873,7.0579,3.1282784930853604,3474,1368.44
430,lockhart,1207,2024-12-07,2023-24,2024-06-30,160,False,-16.97,9.1487,4.9262,28.16,71.84470544369873,7.0579,3.1282784930853604,3474,1368.44
431,lockhart,1274,2025-11-23,2024-25,2025-06-30,146,False,,,,,62.103953914637344,,,3474,1339.0
432,maitland,960,2021-03-10,2019-20,2020-06-30,253,False,7.14,18.61,3.64,57.77,42.23,3.93,7.566695487079839,85166,736.667
433,maitland,1012,2022-02-22,2020-21,2021-06-30,237,False,4.83,20.45,3.85,63.42,36.57882850758333,3.65,7.69832231306624,87395,748.3520000000001
434,maitland,1025,2022-06-27,2020-21,2021-06-30,362,False,4.83,20.45,3.85,63.42,36.57882850758333,3.65,7.69832231306624,87395,748.3520000000001
435,maitland,1090,2023-09-20,2022-23,2023-06-30,82,False,-2.37,14.441,2.5708,56.13,43.86771700219052,2.5292,8.715373277211324,93616,778.3199999999999
436,maitland,1119,2024-04-01,2022-23,2023-06-30,276,False,-2.37,14.441,2.5708,56.13,43.86771700219052,2.5292,8.715373277211324,93616,778.3199999999999
437,maitland,1170,2025-01-15,2023-24,2024-06-30,199,False,-14.92,11.8567,2.063,58.989999999999995,41.01498432871066,0.8528,8.424206936933833,98163,789.17
438,maitland,1212,2025-05-18,2023-24,2024-06-30,322,False,-14.92,11.8567,2.063,58.989999999999995,41.01498432871066,0.8528,8.424206936933833,98163,789.17
439,maitland,1216,2025-07-31,2024-25,2025-06-30,31,False,,,,,34.58103517551229,,,98163,790.6099999999999
466,moreeplains,943,2020-12-10,2019-20,2020-06-30,163,False,-0.02,8.61,1.75,61.91,38.09,2.38,13.622222973658404,13261,2899.4000000000005
467,moreeplains,960,2021-03-10,2019-20,2020-06-30,253,False,-0.02,8.61,1.75,61.91,38.09,2.38,13.622222973658404,13261,2899.4000000000005
468,moreeplains,987,2021-11-09,2020-21,2021-06-30,132,False,-4.68,10.15,3.71,66.32,33.675467220409374,3.4,8.090313745457099,13077,2842.9880000000003
469,moreeplains,1030,2022-08-04,2021-22,2022-06-30,35,False,-6.37,8.1886,3.7361,58.23,41.773616663160105,3.8709,5.976479955899918,12961,2850.49
470,moreeplains,1034,2022-09-14,2021-22,2022-06-30,76,False,-6.37,8.1886,3.7361,58.23,41.773616663160105,3.8709,5.976479955899918,12961,2850.49
471,moreeplains,1054,2023-03-01,2021-22,2022-06-30,244,False,-6.37,8.1886,3.7361,58.23,41.773616663160105,3.8709,5.976479955899918,12961,2850.49
472,moreeplains,1119,2024-04-01,2022-23,2023-06-30,276,False,2.32,7.6053,1.8033,55.74,44.263036497670846,4.9387,7.255129320063131,12869,2850.49
473,moreeplains,1204,2025-03-28,2023-24,2024-06-30,271,False,5.95,6.0934,3.7901,57.81,42.18785774250172,3.9772,9.413133549009592,12816,2850.49
477,muswellbrook,803,2018-01-13,2016-17,2017-06-30,197,False,8.12,10.2844,5.2994,70.28,29.353050624079387,4.9123,6.959463942148212,16468,619.5300000000001
478,muswellbrook,867,2019-02-11,2017-18,2018-06-30,226,False,13.03,7.7,2.02,65.83,34.173950773639916,2.3,16.078111970834062,16431,619.5300000000001
479,muswellbrook,960,2021-03-10,2019-20,2020-06-30,253,False,12.38,5.56,0.98,74.3,25.700000000000003,2.56,15.224747966903491,16377,621.27
480,muswellbrook,987,2021-11-09,2020-21,2021-06-30,132,False,9.96,7.98,2.17,64.35,35.64553114334471,2.43,15.936551774260952,16355,621.27
481,muswellbrook,1012,2022-02-22,2020-21,2021-06-30,237,False,9.96,7.98,2.17,64.35,35.64553114334471,2.43,15.936551774260952,16355,621.27
482,muswellbrook,1025,2022-06-27,2020-21,2021-06-30,362,False,9.96,7.98,2.17,64.35,35.64553114334471,2.43,15.936551774260952,16355,621.27
483,muswellbrook,1034,2022-09-14,2021-22,2022-06-30,76,False,8.34,9.6512,1.9808,63.53,32.556021569802276,3.1956,11.33654227696979,16463,607.8
484,muswellbrook,1091,2023-10-22,2022-23,2023-06-30,114,False,9.48,9.9685,1.6569,64.42,35.484968670061726,2.8839,12.82379277262552,16540,607.8
485,muswellbrook,1159,2024-08-23,2023-24,2024-06-30,54,False,20.18,8.13,1.7703,64.31,34.73104239618573,4.5061,9.940169901273585,16817,610.9
486,muswellbrook,1189,2024-12-27,2023-24,2024-06-30,180,False,20.18,8.13,1.7703,64.31,34.73104239618573,4.5061,9.940169901273585,16817,610.9
