LGA,Severity Class,Definition,Area (Ha),Total Area,% of LGA,Total % of LGA,council_key,source_excel_row
RANDWICK,moderate,partial canopy scorch,0.0,,0.0,,randwick,479
RANDWICK,high,"full canopy scorch, partial consumption",0.0,,0.0,,randwick,480
RANDWICK,extreme,full canopy consumption,0.0,,0.0,,randwick,481
RANDWICK,,,,0.0,,0.0,randwick,482
RICHMOND VALLEY,low,"burnt understory, unburnt canopy",744.17,,2.19,,richmondvalley,483
RICHMOND VALLEY,moderate,partial canopy scorch,365.75,,1.08,,richmondvalley,484
RICHMOND VALLEY,high,"full canopy scorch, partial consumption",87.99,,0.26,,richmondvalley,485
RICHMOND VALLEY,extreme,full canopy consumption,22.73,,0.07,,richmondvalley,486
RICHMOND VALLEY,,,,1220.64,,3.6,richmondvalley,487
RYDE,low,"burnt understory, unburnt canopy",0.0,,0.0,,ryde,488
RYDE,moderate,partial canopy scorch,0.0,,0.0,,ryde,489
RYDE,high,"full canopy scorch, partial consumption",0.0,,0.0,,ryde,490
RYDE,extreme,full canopy consumption,0.0,,0.0,,ryde,491
RYDE,,,,0.0,,0.0,ryde,492
SHELLHARBOUR,low,"burnt understory, unburnt canopy",0.0,,0.0,,shellharbour,493
SHELLHARBOUR,moderate,partial canopy scorch,0.0,,0.0,,shellharbour,494
SHELLHARBOUR,high,"full canopy scorch, partial consumption",0.0,,0.0,,shellharbour,495
SHELLHARBOUR,extreme,full canopy consumption,0.0,,0.0,,shellharbour,496
SHELLHARBOUR,,,,0.0,,0.0,shellharbour,497
SHOALHAVEN,low,"burnt understory, unburnt canopy",66.99,,0.13,,shoalhaven,498
SHOALHAVEN,moderate,partial canopy scorch,67.11,,0.13,,shoalhaven,499
SHOALHAVEN,high,"full canopy scorch, partial consumption",7.51,,0.01,,shoalhaven,500
SHOALHAVEN,extreme,full canopy consumption,0.18,,0.0,,shoalhaven,501
SHOALHAVEN,,,,141.79,,0.27,shoalhaven,502
SINGLETON,low,"burnt understory, unburnt canopy",175.64,,0.32,,singleton,503
SINGLETON,moderate,partial canopy scorch,68.59,,0.13,,singleton,504
SINGLETON,high,"full canopy scorch, partial consumption",28.93,,0.05,,singleton,505
SINGLETON,extreme,full canopy consumption,0.08,,0.0,,singleton,506
SINGLETON,,,,273.24,,0.5,singleton,507
STRATHFIELD,low,"burnt understory, unburnt canopy",0.0,,0.0,,strathfield,518
STRATHFIELD,moderate,partial canopy scorch,0.0,,0.0,,strathfield,519
STRATHFIELD,high,"full canopy scorch, partial consumption",0.0,,0.0,,strathfield,520
STRATHFIELD,extreme,full canopy consumption,0.0,,0.0,,strathfield,521
STRATHFIELD,,,,0.0,,0.0,strathfield,522
SUTHERLAND SHIRE,low,"burnt understory, unburnt canopy",0.0,,0.0,,sutherland,523
SUTHERLAND SHIRE,moderate,partial canopy scorch,0.0,,0.0,,sutherland,524
SUTHERLAND SHIRE,high,"full canopy scorch, partial consumption",0.0,,0.0,,sutherland,525
SUTHERLAND SHIRE,extreme,full canopy consumption,0.0,,0.0,,sutherland,526
SUTHERLAND SHIRE,,,,0.0,,0.0,sutherland,527
SYDNEY,low,"burnt understory, unburnt canopy",0.0,,0.0,,sydney,528
SYDNEY,moderate,partial canopy scorch,0.0,,0.0,,sydney,529
SYDNEY,high,"full canopy scorch, partial consumption",0.0,,0.0,,sydney,530
SYDNEY,extreme,full canopy consumption,0.0,,0.0,,sydney,531
SYDNEY,,,,0.0,,0.0,sydney,532
TAMWORTH REGIONAL,low,"burnt understory, unburnt canopy",52.26,,0.05,,tamworth,533
TAMWORTH REGIONAL,moderate,partial canopy scorch,5.53,,0.01,,tamworth,534
TAMWORTH REGIONAL,high,"full canopy scorch, partial consumption",0.77,,0.0,,tamworth,535
TAMWORTH REGIONAL,extreme,full canopy consumption,0.07,,0.0,,tamworth,536
TAMWORTH REGIONAL,,,,58.63,,0.06000000000000001,tamworth,537
TEMORA,low,"burnt understory, unburnt canopy",1.91,,0.01,,temora,538
TEMORA,moderate,partial canopy scorch,1.0,,0.0,,temora,539
TEMORA,high,"full canopy scorch, partial consumption",0.19,,0.0,,temora,540
TEMORA,extreme,full canopy consumption,0.1,,0.0,,temora,541
TEMORA,,,,3.2,,0.01,temora,542
TENTERFIELD,low,"burnt understory, unburnt canopy",1347.66,,1.65,,tenterfield,543
TENTERFIELD,moderate,partial canopy scorch,280.62,,0.34,,tenterfield,544
TENTERFIELD,high,"full canopy scorch, partial consumption",57.03,,0.07,,tenterfield,545
TENTERFIELD,extreme,full canopy consumption,19.43,,0.02,,tenterfield,546
TENTERFIELD,,,,1704.74,,2.08,tenterfield,547
TWEED,low,"burnt understory, unburnt canopy",0.0,,0.0,,tweed,553
TWEED,moderate,partial canopy scorch,0.0,,0.0,,tweed,554
TWEED,high,"full canopy scorch, partial consumption",0.0,,0.0,,tweed,555
TWEED,extreme,full canopy consumption,0.0,,0.0,,tweed,556
TWEED,,,,0.0,,0.0,tweed,557
UPPER HUNTER,low,"burnt understory, unburnt canopy",280.27,,0.31,,upperhunter,563
UPPER HUNTER,moderate,partial canopy scorch,188.32,,0.21,,upperhunter,564
UPPER HUNTER,high,"full canopy scorch, partial consumption",281.93,,0.31,,upperhunter,565
UPPER HUNTER,extreme,full canopy consumption,148.08,,0.16,,upperhunter,566
UPPER HUNTER,,,,898.6,,0.99,upperhunter,567
UPPER LACHLAN SHIRE,low,"burnt understory, unburnt canopy",0.0,,0.0,,upperlachlan,568
UPPER LACHLAN SHIRE,moderate,partial canopy scorch,0.0,,0.0,,upperlachlan,569
UPPER LACHLAN SHIRE,high,"full canopy scorch, partial consumption",0.0,,0.0,,upperlachlan,570
UPPER LACHLAN SHIRE,extreme,full canopy consumption,0.0,,0.0,,upperlachlan,571
UPPER LACHLAN SHIRE,,,,0.0,,0.0,upperlachlan,572
URALLA,low,"burnt understory, unburnt canopy",0.0,,0.0,,uralla,573
URALLA,moderate,partial canopy scorch,0.0,,0.0,,uralla,574
URALLA,high,"full canopy scorch, partial consumption",0.0,,0.0,,uralla,575
URALLA,extreme,full canopy consumption,0.0,,0.0,,uralla,576
URALLA,,,,0.0,,0.0,uralla,577
WAGGA WAGGA,low,"burnt understory, unburnt canopy",12.68,,0.02,,waggawagga,578
WAGGA WAGGA,moderate,partial canopy scorch,9.56,,0.02,,waggawagga,579
WAGGA WAGGA,high,"full canopy scorch, partial consumption",5.19,,0.01,,waggawagga,580
WAGGA WAGGA,extreme,full canopy consumption,0.59,,0.0,,waggawagga,581
WAGGA WAGGA,,,,28.02,,0.05,waggawagga,582
WALCHA,low,"burnt understory, unburnt canopy",303.18,,0.44,,walcha,583
WALCHA,moderate,partial canopy scorch,96.44,,0.14,,walcha,584
WALCHA,high,"full canopy scorch, partial consumption",25.77,,0.04,,walcha,585
WALCHA,extreme,full canopy consumption,1.84,,0.0,,walcha,586
WALCHA,,,,427.23,,0.6200000000000001,walcha,587
WALGETT,low,"burnt understory, unburnt canopy",3.2,,0.0,,walgett,588
WALGETT,moderate,partial canopy scorch,9.76,,0.0,,walgett,589
WALGETT,high,"full canopy scorch, partial consumption",14.38,,0.01,,walgett,590
WALGETT,extreme,full canopy consumption,12.05,,0.0,,walgett,591
WALGETT,,,,39.39,,0.01,walgett,592
WARREN,low,"burnt understory, unburnt canopy",0.0,,0.0,,warren,593
WARREN,moderate,partial canopy scorch,0.0,,0.0,,warren,594
WARREN,high,"full canopy scorch, partial consumption",0.0,,0.0,,warren,595
WARREN,extreme,full canopy consumption,0.0,,0.0,,warren,596
WARREN,,,,0.0,,0.0,warren,597
WARRUMBUNGLE,low,"burnt understory, unburnt canopy",441.21,,0.32,,warrumbungle,598
WARRUMBUNGLE,moderate,partial canopy scorch,697.23,,0.51,,warrumbungle,599
WARRUMBUNGLE,high,"full canopy scorch, partial consumption",983.93,,0.72,,warrumbungle,600
WARRUMBUNGLE,extreme,full canopy consumption,841.0,,0.61,,warrumbungle,601
WARRUMBUNGLE,,,,2963.37,,2.16,warrumbungle,602
WAVERLEY,low,"burnt understory, unburnt canopy",0.0,,0.0,,waverley,603
WAVERLEY,moderate,partial canopy scorch,0.0,,0.0,,waverley,604
WAVERLEY,high,"full canopy scorch, partial consumption",0.0,,0.0,,waverley,605
WAVERLEY,extreme,full canopy consumption,0.0,,0.0,,waverley,606
WAVERLEY,,,,0.0,,0.0,waverley,607
WEDDIN,low,"burnt understory, unburnt canopy",1.33,,0.0,,weddin,608
WEDDIN,moderate,partial canopy scorch,6.57,,0.02,,weddin,609
WEDDIN,high,"full canopy scorch, partial consumption",3.79,,0.01,,weddin,610
WEDDIN,extreme,full canopy consumption,0.72,,0.0,,weddin,611
WEDDIN,,,,12.41,,0.03,weddin,612
WENTWORTH,low,"burnt understory, unburnt canopy",0.0,,0.0,,wentworth,613
WENTWORTH,moderate,partial canopy scorch,0.0,,0.0,,wentworth,614
WENTWORTH,high,"full canopy scorch, partial consumption",0.0,,0.0,,wentworth,615
WENTWORTH,extreme,full canopy consumption,0.0,,0.0,,wentworth,616
WENTWORTH,,,,0.0,,0.0,wentworth,617
WILLOUGHBY,low,"burnt understory, unburnt canopy",0.0,,0.0,,willoughby,618
WILLOUGHBY,moderate,partial canopy scorch,0.0,,0.0,,willoughby,619
WILLOUGHBY,high,"full canopy scorch, partial consumption",0.0,,0.0,,willoughby,620
WILLOUGHBY,extreme,full canopy consumption,0.0,,0.0,,willoughby,621
WILLOUGHBY,,,,0.0,,0.0,willoughby,622
WINGECARRIBEE,low,"burnt understory, unburnt canopy",0.0,,0.0,,wingecarribee,623
WINGECARRIBEE,moderate,partial canopy scorch,0.0,,0.0,,wingecarribee,624
WINGECARRIBEE,high,"full canopy scorch, partial consumption",0.0,,0.0,,wingecarribee,625
WINGECARRIBEE,extreme,full canopy consumption,0.0,,0.0,,wingecarribee,626
WINGECARRIBEE,,,,0.0,,0.0,wingecarribee,627
WOLLONDILLY,low,"burnt understory, unburnt canopy",0.0,,0.0,,wollondilly,628
WOLLONDILLY,moderate,partial canopy scorch,0.0,,0.0,,wollondilly,629
WOLLONDILLY,high,"full canopy scorch, partial consumption",0.0,,0.0,,wollondilly,630
WOLLONDILLY,extreme,full canopy consumption,0.0,,0.0,,wollondilly,631
WOLLONDILLY,,,,0.0,,0.0,wollondilly,632
WOLLONGONG,low,"burnt understory, unburnt canopy",0.0,,0.0,,wollongong,633
WOLLONGONG,moderate,partial canopy scorch,0.0,,0.0,,wollongong,634
WOLLONGONG,high,"full canopy scorch, partial consumption",0.0,,0.0,,wollongong,635
WOLLONGONG,extreme,full canopy consumption,0.0,,0.0,,wollongong,636
WOLLONGONG,,,,0.0,,0.0,wollongong,637
WOOLLAHRA,low,"burnt understory, unburnt canopy",0.0,,0.0,,woollahra,638
WOOLLAHRA,moderate,partial canopy scorch,0.0,,0.0,,woollahra,639
WOOLLAHRA,high,"full canopy scorch, partial consumption",0.0,,0.0,,woollahra,640
WOOLLAHRA,extreme,full canopy consumption,0.0,,0.0,,woollahra,641
WOOLLAHRA,,,,0.0,,0.0,woollahra,642
YASS VALLEY,low,"burnt understory, unburnt canopy",15.29,,0.03,,yassvalley,643
YASS VALLEY,moderate,partial canopy scorch,28.36,,0.06,,yassvalley,644
YASS VALLEY,high,"full canopy scorch, partial consumption",33.2,,0.07,,yassvalley,645
YASS VALLEY,extreme,full canopy consumption,4.25,,0.01,,yassvalley,646
YASS VALLEY,,,,81.1,,0.17,yassvalley,647
