public_record_id,council_key,applicant,project_asset_label,submission_date,decision_date,period_end,publication_date,quality_note,capacity_measurement_before_known_submission,capacity_publication_before_known_submission,timing_verdict
QRA2022_T1_R162,QLD_scenic_rim,Scenic Rim Regional Council,Biddaddaba Creek Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R163,QLD_scenic_rim,Scenic Rim Regional Council,Brookland Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R164,QLD_scenic_rim,Scenic Rim Regional Council,Christmas Creek Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R165,QLD_scenic_rim,Scenic Rim Regional Council,Round Mountain Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R166,QLD_scenic_rim,Scenic Rim Regional Council,Croftby Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R167,QLD_scenic_rim,Scenic Rim Regional Council,Wild Pig Creek Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R168,QLD_toowoomba,Toowoomba Regional Council,O'Connor Road (Coalbank),,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R169,QLD_toowoomba,Toowoomba Regional Council,Windermere Drive (Hodgson Vale),,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R170,QLD_toowoomba,Toowoomba Regional Council,Blaxland Road (Bowenville),,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R171,QLD_toowoomba,Toowoomba Regional Council,Brimblecombe Road (Oakey),,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R172,QLD_toowoomba,Toowoomba Regional Council,Jimna Springs Road (Southbrook),,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R173,QLD_toowoomba,Toowoomba Regional Council,Kearney Street (Kearneys Spring),,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R174,QLD_toowoomba,Toowoomba Regional Council,Lagoon Crescenteek Road (West Haldon),,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R175,QLD_toowoomba,Toowoomba Regional Council,Maria Crescenteek Road (Anduramba),,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R176,QLD_toowoomba,Toowoomba Regional Council,Umbiram Road (Wyreema),,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R177,QLD_toowoomba,Toowoomba Regional Council,Westbrook Wayreema Road (Westbrook),,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R178,QLD_toowoomba,Toowoomba Regional Council,Westcreek004,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R179,QLD_western_downs,Western Downs Regional Council,Wilds Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R180,QLD_western_downs,Western Downs Regional Council,Sandalwood Av West,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R181,QLD_western_downs,Western Downs Regional Council,Giligulgul Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R182,QLD_western_downs,Western Downs Regional Council,Springvale Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R183,QLD_western_downs,Western Downs Regional Council,Commodity Ct,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R001,QLD_aurukun,Aurukun Shire Council,Aurukun Access Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R002,QLD_barcoo,Barcoo Shire Council,Connemara Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R003,QLD_blackall_tambo,Blackall-Tambo Regional Council,Blackall Emmet Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R004,QLD_blackall_tambo,Blackall-Tambo Regional Council,Coolatai Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R005,QLD_blackall_tambo,Blackall-Tambo Regional Council,Evora Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R006,QLD_cloncurry,Cloncurry Shire Council,Kajabbi Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R007,QLD_croydon,Croydon Shire Council,Glenora Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R008,QLD_flinders,Flinders Shire Council,Moondah Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R009,QLD_mareeba,Mareeba Shire Council,Bakers Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R010,QLD_mareeba,Mareeba Shire Council,Bellevue Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R011,QLD_mareeba,Mareeba Shire Council,Bolwarra Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R012,QLD_mareeba,Mareeba Shire Council,Fantin Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R013,QLD_mareeba,Mareeba Shire Council,Fossilbrook Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R014,QLD_mareeba,Mareeba Shire Council,Hurricane Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R015,QLD_mareeba,Mareeba Shire Council,Karma Waters Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R016,QLD_mareeba,Mareeba Shire Council,Kondaparinga Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R017,QLD_mareeba,Mareeba Shire Council,Mcbean Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R018,QLD_mareeba,Mareeba Shire Council,Mount Cardwell Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R019,QLD_mareeba,Mareeba Shire Council,Mount Misery Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R020,QLD_mareeba,Mareeba Shire Council,Mount Mulligan - Kondaparinga Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R021,QLD_mareeba,Mareeba Shire Council,Mount Mulligan Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R022,QLD_mareeba,Mareeba Shire Council,Nychum Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R023,QLD_mareeba,Mareeba Shire Council,Ok Mine Road South,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R024,QLD_mareeba,Mareeba Shire Council,Price Creek Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R025,QLD_mareeba,Mareeba Shire Council,Springfield Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R026,QLD_mareeba,Mareeba Shire Council,Sunnymount Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R027,QLD_mareeba,Mareeba Shire Council,Torwood Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R028,QLD_northern_peninsula_area,Northern Peninsula Area Regional Council,Ferry Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R029,QLD_palm_island,Palm Island Aboriginal Shire Council,Farm Road,,,2020-06-30,2022-05-11,QAO footnote: 2020–21 audit unfinished; ratios from 2019–20,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R030,QLD_palm_island,Palm Island Aboriginal Shire Council,Lower Weir Road,,,2020-06-30,2022-05-11,QAO footnote: 2020–21 audit unfinished; ratios from 2019–20,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R031,QLD_palm_island,Palm Island Aboriginal Shire Council,Mount Bentley Road,,,2020-06-30,2022-05-11,QAO footnote: 2020–21 audit unfinished; ratios from 2019–20,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R032,QLD_palm_island,Palm Island Aboriginal Shire Council,Sundowner Ridge Road,,,2020-06-30,2022-05-11,QAO footnote: 2020–21 audit unfinished; ratios from 2019–20,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R033,QLD_palm_island,Palm Island Aboriginal Shire Council,Tip Bypass Road,,,2020-06-30,2022-05-11,QAO footnote: 2020–21 audit unfinished; ratios from 2019–20,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R034,QLD_paroo,Paroo Shire Council,Humeburn Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R035,QLD_paroo,Paroo Shire Council,Mount Alfred Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R036,QLD_quilpie,Quilpie Shire Council,Old Charleville Road - 16-3_4B-Quilpie - Combined,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R037,QLD_richmond,Richmond Shire Council,Richmond - Croydon Road (A1),,,2020-06-30,2022-05-11,QAO footnote: 2020–21 audit unfinished; ratios from 2019–20,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T2_R038,QLD_torres_strait_island,Torres Strait Island Regional Council,Dauan (Mt Cornwallis Island) - Reservoir Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
